               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.019675,           0.0071496,          0.00030688,             0.90113,             0.93376,             0.95636,              0.6623,            0.020025,           0.0039471,           0.0016193,            0.002674,            0.002674,            0.002674
                  76,             0.01926,           0.0069598,          0.00026235,             0.97611,             0.92377,              0.9608,             0.63788,            0.019827,            0.003924,           0.0019509,            0.002575,            0.002575,            0.002575
                  77,             0.01917,            0.006896,          0.00019182,             0.96661,             0.92202,             0.96685,             0.65465,            0.019982,           0.0038796,           0.0018469,            0.002476,            0.002476,            0.002476
                  78,            0.019656,            0.007108,          0.00044273,             0.94332,             0.91057,             0.95801,             0.65179,            0.019837,           0.0039152,           0.0022112,            0.002377,            0.002377,            0.002377
                  79,            0.018875,           0.0070467,          0.00022172,             0.96212,             0.92776,             0.95725,             0.66056,            0.019492,            0.003843,            0.002226,            0.002278,            0.002278,            0.002278
                  80,            0.019299,             0.00681,           0.0003076,             0.91974,             0.88585,             0.95416,             0.66056,            0.019483,           0.0038388,           0.0024507,            0.002179,            0.002179,            0.002179
                  81,            0.019025,           0.0068951,          0.00035088,             0.94349,             0.91502,             0.96765,             0.66088,            0.019837,           0.0038841,           0.0018504,             0.00208,             0.00208,             0.00208
                  82,             0.01897,           0.0069252,          0.00043335,             0.95041,             0.92277,             0.95716,             0.64924,            0.020162,           0.0039867,           0.0015804,            0.001981,            0.001981,            0.001981
                  83,            0.018721,           0.0069959,          0.00037116,             0.98173,              0.8645,             0.96152,             0.65429,            0.019971,           0.0038843,           0.0022572,            0.001882,            0.001882,            0.001882
                  84,            0.019051,            0.006698,          0.00026188,             0.95966,             0.88374,             0.96449,             0.66023,            0.019753,            0.003961,           0.0019324,            0.001783,            0.001783,            0.001783
                  85,            0.018795,           0.0067578,          0.00022561,             0.94005,              0.9335,             0.96714,              0.6566,            0.019654,           0.0039404,           0.0017432,            0.001684,            0.001684,            0.001684
                  86,             0.01852,           0.0067812,           0.0001734,             0.97201,             0.88903,             0.96496,             0.65799,            0.019685,           0.0039835,           0.0015165,            0.001585,            0.001585,            0.001585
                  87,            0.018556,           0.0067496,          0.00027361,             0.93254,              0.9344,             0.96172,             0.65387,            0.020044,           0.0039747,           0.0015474,            0.001486,            0.001486,            0.001486
                  88,            0.018424,           0.0067746,          0.00029428,             0.91417,             0.93951,             0.96092,              0.6518,            0.019799,           0.0039641,           0.0021022,            0.001387,            0.001387,            0.001387
                  89,            0.018328,           0.0066294,          0.00022316,             0.95651,             0.92057,             0.96225,             0.65971,            0.019876,           0.0038733,           0.0020167,            0.001288,            0.001288,            0.001288
                  90,            0.018077,           0.0064906,          0.00027435,             0.93276,             0.95876,             0.96793,             0.64919,            0.019611,           0.0039134,           0.0014346,            0.001189,            0.001189,            0.001189
                  91,            0.017994,           0.0067084,          0.00016966,             0.94517,             0.93247,              0.9632,             0.66302,            0.019882,           0.0039331,           0.0017414,             0.00109,             0.00109,             0.00109
                  92,            0.018081,           0.0067051,          0.00021957,             0.94288,             0.91302,             0.96527,             0.65859,            0.019899,           0.0039207,           0.0019767,            0.000991,            0.000991,            0.000991
                  93,             0.01785,           0.0065576,          0.00019018,             0.95044,             0.92331,             0.96494,             0.66467,            0.019579,           0.0038924,           0.0015322,            0.000892,            0.000892,            0.000892
                  94,            0.018003,           0.0065076,          0.00023372,             0.94266,             0.92448,             0.96263,             0.67397,            0.019753,           0.0039034,           0.0018337,            0.000793,            0.000793,            0.000793
                  95,            0.017807,           0.0065756,          0.00018485,             0.92204,             0.94303,              0.9638,             0.65702,            0.019827,           0.0039468,           0.0018717,            0.000694,            0.000694,            0.000694
                  96,            0.017881,           0.0064861,          0.00018919,              0.9474,             0.92691,             0.96325,             0.66608,             0.01965,           0.0039278,           0.0018943,            0.000595,            0.000595,            0.000595
                  97,            0.017705,           0.0064988,          0.00020166,             0.95502,             0.91731,             0.96409,             0.65963,            0.019812,           0.0039218,           0.0020187,            0.000496,            0.000496,            0.000496
                  98,             0.01782,           0.0064818,          0.00017436,             0.94242,             0.94042,              0.9628,             0.66831,            0.019645,           0.0038933,           0.0020909,            0.000397,            0.000397,            0.000397
                  99,            0.017716,           0.0063215,          0.00019304,             0.95281,             0.92064,             0.96171,             0.66226,            0.019694,           0.0039079,            0.002134,            0.000298,            0.000298,            0.000298
